,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
102310,6.0,湖南,68989999.955,0.033,0.01,0.002,28.16187230769231,112.56216384615384
102952,6.0,甘肃,26369999.999,0.001,0.0,0.0,37.30401,103.87728333333332
103812,6.0,福建,39409999.993,0.005,0.002,0.0,26.142049999999998,118.73027333333334
104407,6.0,西藏,3439999.995,0.003,0.001,0.0,,
104408,6.0,贵州,35999999.997,0.002,0.001,0.0,27.496083333333335,107.00552
104936,6.0,辽宁,43589999.999,0.0,0.0,0.0,41.50919357142857,123.15024785714284
105711,6.0,重庆,31019999.972,0.021,0.006,0.001,31.947670000000002,109.8788
105714,6.0,陕西,38639999.99,0.007,0.002,0.0,35.282599000000005,109.596947
106509,6.0,青海,6029999.995,0.004,0.001,0.0,36.88553,102.31702999999999
106583,6.0,黑龙江,37729999.999,0.001,0.0,0.0,47.34939249999999,130.2335575
107401,7.0,上海,24239999.99,0.007,0.002,0.0,31.6229,121.54409
107405,7.0,云南,48299999.997,0.002,0.001,0.0,25.904379999999996,102.30507500000002
108077,7.0,内蒙古,25339999.992,0.005,0.002,0.0,,
108078,7.0,北京,21539999.987,0.009,0.003,0.001,40.45678,117.12141000000001
108081,7.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
108780,7.0,四川,83409999.987,0.009,0.003,0.001,30.53237777777778,105.2965627777778
109653,7.0,天津,15599999.998,0.002,0.001,0.0,40.045770000000005,117.82478
109657,7.0,宁夏,6879999.987,0.009,0.003,0.001,,
109658,7.0,安徽,63239999.977,0.016,0.005,0.001,32.297855625000004,117.78378999999998
110363,7.0,山东,100469999.994,0.004,0.001,0.0,36.72984058823529,118.55807705882354
111136,7.0,山西,37179999.999,0.001,0.0,0.0,37.94250727272727,113.0517218181818
111926,7.0,广东,113459999.973,0.019,0.006,0.001,23.33513857142857,114.03101857142859
112624,7.0,广西,49259999.995,0.004,0.001,0.0,,
112625,7.0,新疆,24869999.999,0.0,0.0,0.0,,
112626,7.0,江苏,80509999.985,0.011,0.004,0.001,33.117227692307694,119.85052999999999
113333,7.0,江西,46479999.968,0.023,0.008,0.002,28.422473636363634,116.2816772727273
113964,7.0,河北,75559999.992,0.006,0.002,0.0,39.43456181818181,116.94264636363637
114693,7.0,河南,96049999.922,0.055,0.019,0.004,34.62354470588235,114.39410823529411
115499,7.0,浙江,57369999.988,0.009,0.003,0.001,30.10409363636364,120.86088727272727
116089,7.0,海南,9339999.998,0.001,0.0,0.0,19.191874285714285,110.12555857142857
116857,7.0,湖北,59169565.091,300.379,162.83,71.7,31.060170000000003,113.48653125000003
117653,7.0,湖南,68989999.935,0.046,0.016,0.003,28.16187230769231,112.56216384615384
118295,7.0,甘肃,26369999.999,0.001,0.0,0.0,37.30401,103.87728333333332
