,day,susceptics,exposed,infected,recover,province_y,province_en
396,12,3439999,0,0,0,西藏自治区,Tibet
397,12,35999999,0,0,0,贵州省,Guizhou
398,12,43589999,0,0,0,辽宁省,Liaoning
399,12,31019999,0,0,0,重庆声,Chongqing
400,12,38639999,0,0,0,陕西省,Shaanxi
401,12,6029999,0,0,0,青海省,Qinghai
402,12,37729999,0,0,0,黑龙江省,Heilongjiang
403,13,24239999,0,0,0,上海市,Shanghai
404,13,48299999,0,0,0,云南省,Yunnan
405,13,25339999,0,0,0,内蒙古自治区,Inner Mongolia
406,13,21539999,0,0,0,北京市,Beijing
407,13,27039999,0,0,0,吉林省,Jilin
408,13,83409999,0,0,0,四川省,Sichuan
409,13,15599999,0,0,0,天津市,Tianjin
410,13,6879999,0,0,0,宁夏回族自治区,Ningxia
411,13,63239999,0,0,0,安徽省,Anhui
412,13,100469999,0,0,0,山东省,Shandong
413,13,37179999,0,0,0,山西省,Shanxi
414,13,113459999,0,0,0,广东省,Guangdong
415,13,49259999,0,0,0,广西壮族自治区,Guangxi
416,13,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
417,13,80509999,0,0,0,江苏省,Jiangsu
418,13,46479999,0,0,0,江西省,Jiangxi
419,13,75559999,0,0,0,河北省,Hebei
420,13,96049999,0,0,0,河南省,Henan
421,13,57369999,0,0,0,浙江省,Zhejiang
422,13,9339999,0,0,0,海南省,Hainan
423,13,59169990,5,2,1,湖北省,Hubei
424,13,68989999,0,0,0,湖南省,Hunan
425,13,26369999,0,0,0,甘肃省,Gansu
426,13,39409999,0,0,0,福建省,Fujian
427,13,3439999,0,0,0,西藏自治区,Tibet
428,13,35999999,0,0,0,贵州省,Guizhou
429,13,43589999,0,0,0,辽宁省,Liaoning
430,13,31019999,0,0,0,重庆声,Chongqing
431,13,38639999,0,0,0,陕西省,Shaanxi
432,13,6029999,0,0,0,青海省,Qinghai
433,13,37729999,0,0,0,黑龙江省,Heilongjiang
434,14,24239999,0,0,0,上海市,Shanghai
435,14,48299999,0,0,0,云南省,Yunnan
436,14,25339999,0,0,0,内蒙古自治区,Inner Mongolia
437,14,21539999,0,0,0,北京市,Beijing
438,14,27039999,0,0,0,吉林省,Jilin
439,14,83409999,0,0,0,四川省,Sichuan
440,14,15599999,0,0,0,天津市,Tianjin
441,14,6879999,0,0,0,宁夏回族自治区,Ningxia
442,14,63239999,0,0,0,安徽省,Anhui
443,14,100469999,0,0,0,山东省,Shandong
444,14,37179999,0,0,0,山西省,Shanxi
445,14,113459999,0,0,0,广东省,Guangdong
446,14,49259999,0,0,0,广西壮族自治区,Guangxi
447,14,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
448,14,80509999,0,0,0,江苏省,Jiangsu
449,14,46479999,0,0,0,江西省,Jiangxi
450,14,75559999,0,0,0,河北省,Hebei
451,14,96049999,0,0,0,河南省,Henan
452,14,57369999,0,0,0,浙江省,Zhejiang
453,14,9339999,0,0,0,海南省,Hainan
454,14,59169989,5,2,2,湖北省,Hubei
455,14,68989999,0,0,0,湖南省,Hunan
456,14,26369999,0,0,0,甘肃省,Gansu
457,14,39409999,0,0,0,福建省,Fujian
458,14,3439999,0,0,0,西藏自治区,Tibet
459,14,35999999,0,0,0,贵州省,Guizhou
460,14,43589999,0,0,0,辽宁省,Liaoning
461,14,31019999,0,0,0,重庆声,Chongqing
462,14,38639999,0,0,0,陕西省,Shaanxi
463,14,6029999,0,0,0,青海省,Qinghai
464,14,37729999,0,0,0,黑龙江省,Heilongjiang
465,15,24239999,0,0,0,上海市,Shanghai
466,15,48299999,0,0,0,云南省,Yunnan
467,15,25339999,0,0,0,内蒙古自治区,Inner Mongolia
468,15,21539999,0,0,0,北京市,Beijing
469,15,27039999,0,0,0,吉林省,Jilin
470,15,83409999,0,0,0,四川省,Sichuan
471,15,15599999,0,0,0,天津市,Tianjin
472,15,6879999,0,0,0,宁夏回族自治区,Ningxia
473,15,63239999,0,0,0,安徽省,Anhui
474,15,100469999,0,0,0,山东省,Shandong
475,15,37179999,0,0,0,山西省,Shanxi
476,15,113459999,0,0,0,广东省,Guangdong
477,15,49259999,0,0,0,广西壮族自治区,Guangxi
478,15,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
479,15,80509999,0,0,0,江苏省,Jiangsu
480,15,46479999,0,0,0,江西省,Jiangxi
481,15,75559999,0,0,0,河北省,Hebei
482,15,96049999,0,0,0,河南省,Henan
483,15,57369999,0,0,0,浙江省,Zhejiang
484,15,9339999,0,0,0,海南省,Hainan
485,15,59169987,6,3,2,湖北省,Hubei
486,15,68989999,0,0,0,湖南省,Hunan
487,15,26369999,0,0,0,甘肃省,Gansu
488,15,39409999,0,0,0,福建省,Fujian
489,15,3439999,0,0,0,西藏自治区,Tibet
490,15,35999999,0,0,0,贵州省,Guizhou
491,15,43589999,0,0,0,辽宁省,Liaoning
492,15,31019999,0,0,0,重庆声,Chongqing
493,15,38639999,0,0,0,陕西省,Shaanxi
494,15,6029999,0,0,0,青海省,Qinghai
495,15,37729999,0,0,0,黑龙江省,Heilongjiang
496,16,24239999,0,0,0,上海市,Shanghai
497,16,48299999,0,0,0,云南省,Yunnan
498,16,25339999,0,0,0,内蒙古自治区,Inner Mongolia
499,16,21539999,0,0,0,北京市,Beijing
500,16,27039999,0,0,0,吉林省,Jilin
501,16,83409999,0,0,0,四川省,Sichuan
502,16,15599999,0,0,0,天津市,Tianjin
503,16,6879999,0,0,0,宁夏回族自治区,Ningxia
504,16,63239999,0,0,0,安徽省,Anhui
505,16,100469999,0,0,0,山东省,Shandong
506,16,37179999,0,0,0,山西省,Shanxi
507,16,113459999,0,0,0,广东省,Guangdong
508,16,49259999,0,0,0,广西壮族自治区,Guangxi
509,16,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
510,16,80509999,0,0,0,江苏省,Jiangsu
511,16,46479999,0,0,0,江西省,Jiangxi
512,16,75559999,0,0,0,河北省,Hebei
